Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Year,Month
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,publications,legal services - legal services,lexisnexis (a division of relx (uk) ltd),158629,319.56,Legal Services Admin-Publications,sm2 5as,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,publications,legal services - legal services,lexisnexis (a division of relx (uk) ltd),158630,-15.98,Legal Services Admin-Publications,sm2 5as,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,publications,legal services - legal services,lexisnexis (a division of relx (uk) ltd),158630,-15.04,Legal Services Admin-Publications,sm2 5as,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,stationery,business and science - science and research,banner business services ltd,158631,0.29,B&S Devolved Admin-Stationery,nr3 1qu,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,stationery,business and science - science and research,banner business services ltd,158631,0.43,B&S Devolved Admin-Stationery,nr3 1qu,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,stationery,business and science - science and research,banner business services ltd,158631,1.19,B&S Devolved Admin-Stationery,nr3 1qu,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,stationery,business and science - science and research,banner business services ltd,158631,1.19,B&S Devolved Admin-Stationery,nr3 1qu,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,stationery,business and science - science and research,banner business services ltd,158631,2.72,B&S Devolved Admin-Stationery,nr3 1qu,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,stationery,business and science - science and research,banner business services ltd,158631,3.95,B&S Devolved Admin-Stationery,nr3 1qu,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,stationery,business and science - science and research,banner business services ltd,158631,4.22,B&S Devolved Admin-Stationery,nr3 1qu,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,stationery,business and science - science and research,banner business services ltd,158631,5.04,B&S Devolved Admin-Stationery,nr3 1qu,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,stationery,business and science - science and research,banner business services ltd,158631,5.71,B&S Devolved Admin-Stationery,nr3 1qu,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,stationery,business and science - science and research,banner business services ltd,158631,10.13,B&S Devolved Admin-Stationery,nr3 1qu,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-28,stationery,business and science - science and research,banner business services ltd,158631,14.53,B&S Devolved Admin-Stationery,nr3 1qu,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-29,stationery,business and science - business innovation,banner business services ltd,158644,0.84,B&S Devolved Admin-Stationery,nr3 1qu,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-29,stationery,business and science - business innovation,banner business services ltd,158644,6.77,B&S Devolved Admin-Stationery,nr3 1qu,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-29,stationery,business and science - business innovation,banner business services ltd,158644,6.77,B&S Devolved Admin-Stationery,nr3 1qu,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-29,stationery,business and science - business innovation,banner business services ltd,158644,11.48,B&S Devolved Admin-Stationery,nr3 1qu,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-29,stationery,business and science - business innovation,banner business services ltd,158644,13.32,B&S Devolved Admin-Stationery,nr3 1qu,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-29,stationery,business and science - business innovation,banner business services ltd,158644,13.8,B&S Devolved Admin-Stationery,nr3 1qu,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-29,stationery,business and science - business innovation,banner business services ltd,158644,22.68,B&S Devolved Admin-Stationery,nr3 1qu,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-29,stationery,business and science - business innovation,banner business services ltd,158644,30.79,B&S Devolved Admin-Stationery,nr3 1qu,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-29,stationery,"finance, commercial & digital transformation - digital directorate",banner business services ltd,158648,1.08,FCDT Devolved Admin-Stationery,nr3 1qu,vendor,2016,7
